# ts,lat,lon,ele,hdop,vdop
1.642356145608000040e+09,4.574497457999999739e+01,-7.174505150000000242e+01,6.937000000000000000e+03,1.500000000000000000e+00,1.199999999999999956e+00
1.642356217589999914e+09,4.574634130999999826e+01,-7.172552181000000360e+01,6.368500000000000000e+03,1.399999999999999911e+00,1.100000000000000089e+00
1.642356284608999968e+09,4.574632320999999990e+01,-7.170966545999999653e+01,5.850100097656250000e+03,3.200000000000000178e+00,2.500000000000000000e+00
1.642356355596999884e+09,4.574606863999999717e+01,-7.169446207999999388e+01,5.306399902343750000e+03,1.600000000000000089e+00,1.300000000000000044e+00
1.642356434000000000e+09,4.574530894000000103e+01,-7.167609523000000138e+01,4.734799804687500000e+03,1.899999999999999911e+00,1.600000000000000089e+00
1.642356505404999971e+09,4.574457696000000340e+01,-7.166026144999999303e+01,4.236399902343750000e+03,2.000000000000000000e+00,1.500000000000000000e+00
1.642356577391000032e+09,4.574300720000000098e+01,-7.164785641000000282e+01,3.765800048828125000e+03,2.000000000000000000e+00,1.699999999999999956e+00
1.642356649403000116e+09,4.574180610999999885e+01,-7.163679526999999325e+01,3.308899902343750000e+03,3.600000000000000089e+00,2.799999999999999822e+00
1.642356721598999977e+09,4.574196909999999860e+01,-7.162667351999999710e+01,2.860000000000000000e+03,2.000000000000000000e+00,1.600000000000000089e+00
1.642356793342999935e+09,4.574366949000000204e+01,-7.161664634999999635e+01,2.418100097656250000e+03,2.200000000000000178e+00,1.800000000000000044e+00
1.642356865533999920e+09,4.574607170000000167e+01,-7.160600558000000149e+01,2.014400024414062500e+03,2.000000000000000000e+00,1.600000000000000089e+00
1.642356937394000053e+09,4.574880759999999924e+01,-7.159508399999999995e+01,1.607500000000000000e+03,1.800000000000000044e+00,1.399999999999999911e+00
1.642357009594000101e+09,4.575237294000000077e+01,-7.158373294000000442e+01,1.191500000000000000e+03,1.600000000000000089e+00,1.300000000000000044e+00
1.642357105592999935e+09,4.575710818999999674e+01,-7.157381048999999962e+01,6.715000000000000000e+02,1.600000000000000089e+00,1.300000000000000044e+00
1.642357190000000000e+09,4.575883953999999676e+01,-7.157280996999999445e+01,3.596000061035156250e+02,5.400000000000000355e+00,4.500000000000000000e+00
1.642357251078000069e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642357312243000031e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642357372591000080e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642357433999000072e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642357494500999928e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642357559354000092e+09,4.574848169999999925e+01,-7.152879959999999926e+01,nan,nan,nan
1.642357621072999954e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642357683154999971e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642357744154000044e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642357804486000061e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642357865052999973e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642357926062999964e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642357987148999929e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358062963000059e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358123993000031e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358204062000036e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358265414999962e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358325943000078e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358386644999981e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358447410000086e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358508086999893e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358568552000046e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358629211999893e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358689720999956e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358751217999935e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358811700000048e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358872183000088e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358932634000063e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642358993221999884e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359053785000086e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359114971999884e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359175525000095e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359236990000010e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359297494999886e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359359621999979e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359420039000034e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359481334000111e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359541723999977e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359602976000071e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359663617000103e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359724032999992e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359784467999935e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359845051000118e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359905601999998e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642359965993999958e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360026529999971e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360087010999918e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360148157000065e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360208963999987e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360269484999895e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360330930999994e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360395818000078e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360456107000113e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360516638000011e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360578071000099e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360638923000097e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360699970999956e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360761164000034e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360821855999947e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642360882994999886e+09,4.575518799999999686e+01,-7.146164609999999584e+01,nan,nan,nan
1.642360965114000082e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361026006000042e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361086835999966e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361147992000103e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361209551000118e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361336782000065e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361398007999897e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361458536000013e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361520154000044e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361580523000002e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361641043999910e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361701513000011e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361763099999905e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361823677999973e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361884249000072e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642361944910000086e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642362006849999905e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642362067308000088e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642362127986000061e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642362188628999949e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642362249242000103e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642362310190999985e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642362371088000059e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642362431528000116e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642362493358000040e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
1.642362553888000011e+09,4.576189430000000158e+01,-7.139449270000000070e+01,nan,nan,nan
